id,Kanji,Old Kanji,Radical,Strokes,Grade,JLPT,Meanings,Kun yomi,Kun romaji,On yomi,On romaji
320,帰,歸,止,10,2,4,return,"かえ-る, かえ-す"," kae-ru,  kae-su",キ,ki
321,基,,土,11,5,2,foundation,"もと, もとい"," moto,  motoi",キ,ki
322,寄,,宀,11,5,3,approach,"よ-る, よ-せる"," yo-ru,  yo-seru",キ,ki
323,規,,見,11,5,3,rule,,,キ,ki
324,亀,龜,龜,11,S,1,turtle,かめ, kame,キ,ki
325,喜,,口,12,5,3,rejoice,よろこ-ぶ, yoroko-bu,キ,ki
326,幾,,幺,12,S,1,how many,いく, iku,キ,ki
327,揮,,手,12,6,1,brandish,,,キ,ki
328,期,,月,12,3,3,period of time,,,"キ, （ゴ）","ki,  (go)"
329,棋,,木,12,S,1,chess piece,,,キ,ki
330,貴,,貝,12,6,1,precious,"たっと-い, とうと-い, たっと-ぶ, とうと-ぶ"," tatto-i,  touto-i,  tatto-bu,  touto-bu",キ,ki
331,棄,,木,13,S,1,abandon,,,キ,ki
332,毀,,殳,13,S,0,destroy,,,キ,ki
333,旗,,方,14,4,1,national flag,はた, hata,キ,ki
334,器,器,口,15,4,1,container,うつわ, utsuwa,キ,ki
335,畿,,田,15,S,0,capital,,,キ,ki
336,輝,,車,15,S,1,radiance,かがや-く, kagaya-ku,キ,ki
337,機,,木,16,4,3,machine,はた, hata,キ,ki
338,騎,,馬,18,S,1,equestrian,,,キ,ki
339,技,,手,7,5,2,skill,わざ, waza,ギ,gi
340,宜,,宀,8,S,1,best regards,,,ギ,gi
341,偽,僞,人,11,S,1,falsehood,"いつわ-る, にせ"," itsuwa-ru,  nise",ギ,gi
342,欺,,欠,12,S,1,deceit,あざむ-く, azamu-ku,ギ,gi
343,義,,羊,13,5,1,righteousness,,,ギ,gi
344,疑,,疋,14,6,3,doubt,うたが-う, utaga-u,ギ,gi
345,儀,,人,15,S,1,ceremony,,,ギ,gi
346,戯,戲,戈,15,S,1,frolic,たわむ-れる, tawamu-reru,ギ,gi
347,擬,,手,17,S,1,mimic,,,ギ,gi
348,犠,犧,牛,17,S,1,sacrifice,,,ギ,gi
349,議,,言,20,4,3,deliberation,,,ギ,gi
350,菊,,艸,11,S,1,chrysanthemum,,,キク,kiku
351,吉,,口,6,S,1,good luck,,,"キチ, キツ","kichi,  kitsu"
352,喫,,口,12,S,2,consume,,,キツ,kitsu
353,詰,,言,13,S,2,packed,"つ-める, つ-まる, つ-む"," tsu-meru,  tsu-maru,  tsu-mu",キツ,kitsu
354,却,,卩,7,S,1,instead,,,キャク,kyaku
355,客,,宀,9,3,3,guest,,,"キャク, カク","kyaku,  kaku"
356,脚,,肉,11,S,1,leg,あし, ashi,"キャク, （キャ）","kyaku,  (kya)"
357,逆,,辵,9,5,2,inverted,"さか, さか-らう"," saka,  saka-rau",ギャク,gyaku
358,虐,,虍,9,S,1,tyrannize,しいた-げる, shiita-geru,ギャク,gyaku
359,九,,乙,2,1,5,nine,"ここの, ここの-つ"," kokono,  kokono-tsu","キュウ, ク","kyuu,  ku"
360,久,,丿,3,5,2,long time,ひさ-しい, hisa-shii,"キュウ, （ク）","kyuu,  (ku)"
361,及,,又,3,S,1,reach out,"およ-ぶ, およ-び, およ-ぼす"," oyo-bu,  oyo-bi,  oyo-bosu",キュウ,kyuu
362,弓,,弓,3,2,1,"bow (archery, violin)",ゆみ, yumi,キュウ,kyuu
363,丘,,一,5,S,1,hill,おか, oka,キュウ,kyuu
364,旧,舊,臼,5,5,2,old times,,,キュウ,kyuu
365,休,,人,6,1,5,rest,"やす-む, やす-まる, やす-める"," yasu-mu,  yasu-maru,  yasu-meru",キュウ,kyuu
366,吸,,口,6,6,3,suck,す-う, su-u,キュウ,kyuu
367,朽,,木,6,S,1,decay,く-ちる, ku-chiru,キュウ,kyuu
368,臼,,臼,6,S,0,mortar,うす, usu,キュウ,kyuu
369,求,,水,7,4,3,request,もと-める, moto-meru,キュウ,kyuu
370,究,,穴,7,3,4,research,きわ-める, kiwa-meru,キュウ,kyuu
371,泣,,水,8,4,1,cry,な-く, na-ku,キュウ,kyuu
372,急,,心,9,3,4,hurry,いそ-ぐ, iso-gu,キュウ,kyuu
